,Match #,Time,Red 1,Red 2,Red 3,Blue 1,Blue 2,Blue 3
0,1,2019-03-23 09:10:02,6039,1671,6506,192,3495,5817
1,2,2019-03-23 09:18:05,6665,2035,6410,7413,4255,3128
2,3,2019-03-23 09:30:02,6353,4171,6884,2643,7308,852
3,4,2019-03-23 09:39:57,702,6814,2073,253,5823,4984
4,5,2019-03-23 09:50:02,5171,6822,1280,7528,7401,3256
5,6,2019-03-23 09:57:30,581,7777,299,5104,6059,7667
6,7,2019-03-23 10:04:50,6506,5823,7413,6039,6353,7308
7,8,2019-03-23 10:13:17,4255,2643,3256,6884,7528,1671
8,9,2019-03-23 10:21:58,7401,6822,6814,702,7777,5817
9,10,2019-03-23 10:30:05,3495,2035,6059,852,7667,4171
10,11,2019-03-23 10:43:29,581,4984,192,5104,6665,1280
11,12,2019-03-23 10:52:17,299,2073,3128,253,6410,5171
12,13,2019-03-23 11:00:05,2035,7401,7413,6822,6059,6884
13,14,2019-03-23 11:09:20,3495,7667,2643,6039,6814,1280
14,15,2019-03-23 11:17:26,6353,5104,852,253,299,192
15,16,2019-03-23 11:26:27,7308,4984,7528,6665,7777,1671
16,17,2019-03-23 11:34:03,5817,4255,6506,5823,4171,2073
17,18,2019-03-23 11:42:03,6410,581,3128,702,3256,5171
18,19,2019-03-23 13:02:10,6822,6665,3495,2035,2643,6353
19,20,2019-03-23 13:13:33,2073,852,5817,1671,7401,7667
20,21,2019-03-23 13:21:02,192,6884,702,3128,7528,5171
21,22,2019-03-23 13:29:05,4171,581,6506,6814,299,6410
22,23,2019-03-23 13:38:00,1280,253,7308,6059,4255,5823
23,24,2019-03-23 13:46:22,7777,3256,6039,4984,7413,5104
24,25,2019-03-23 13:56:02,6814,6884,852,2073,6353,6410
25,26,2019-03-23 14:02:03,4171,1671,1280,3128,6506,6665
26,27,2019-03-23 14:13:07,5823,7528,702,299,6822,2035
27,28,2019-03-23 14:21:11,7401,7777,6059,4255,581,6039
28,29,2019-03-23 14:32:09,5817,3256,7308,7413,253,3495
29,30,2019-03-23 14:39:20,4984,5171,7667,2643,192,5104
30,31,2019-03-23 14:50:02,6884,3128,7401,6665,5823,6353
31,32,2019-03-23 14:58:06,5817,6410,7413,1671,6059,299
32,33,2019-03-23 15:07:21,3256,2073,7667,7308,6506,702
33,34,2019-03-23 15:13:36,6039,7528,5104,4171,2035,253
34,35,2019-03-23 15:22:03,1280,4984,2643,852,6822,581
35,36,2019-03-23 15:29:08,192,5171,7777,4255,6814,3495
36,37,2019-03-23 15:35:48,7413,702,4171,5104,1671,2073
37,38,2019-03-23 15:42:16,3128,7308,2035,2643,6039,7401
38,39,2019-03-23 15:49:38,5171,6353,3495,6506,4984,6822
39,40,2019-03-23 15:59:05,6814,192,6665,7528,5817,6059
40,41,2019-03-23 16:06:02,253,7667,7777,6410,1280,6884
41,42,2019-03-23 16:14:03,299,852,4255,581,3256,5823
42,43,2019-03-23 16:23:05,2073,5171,2643,5817,6039,4171
43,44,2019-03-23 16:32:03,2035,6506,7528,6059,3128,4984
44,45,2019-03-23 16:40:05,852,1280,5823,6814,7413,7777
45,46,2019-03-23 16:48:24,7667,581,6665,6353,253,6822
46,47,2019-03-23 16:57:11,702,5104,299,4255,6884,7308
47,48,2019-03-23 17:05:03,3495,1671,3256,6410,7401,192
48,49,2019-03-23 17:16:09,6506,7667,6814,7413,6059,6665
49,50,2019-03-23 17:22:27,3128,2643,253,7777,2073,2035
50,51,2019-03-23 17:29:35,5823,6039,6884,3495,702,581
51,52,2019-03-23 17:36:55,7308,5104,6822,1671,5171,852
52,53,2019-03-24 09:10:00,299,4171,7401,3256,1280,192
53,54,2019-03-24 09:18:00,6410,4255,7528,4984,5817,6353
54,55,2019-03-24 09:21:41,5823,2035,1671,5171,6814,581
55,56,2019-03-24 09:29:03,6665,702,6039,3256,852,7413
56,57,2019-03-24 09:36:52,6884,3495,4984,6822,3128,5817
57,58,2019-03-24 09:46:15,6059,192,6353,2073,1280,4255
58,59,2019-03-24 09:52:40,7401,5104,253,6506,6410,2643
59,60,2019-03-24 09:59:51,7777,7308,4171,7667,299,7528
60,61,2019-03-24 10:07:02,2035,6039,5171,1280,6353,702
61,62,2019-03-24 10:16:02,6059,6814,3256,5104,3495,3128
62,63,2019-03-24 10:24:02,7308,5823,6410,7528,2643,581
63,64,2019-03-24 10:31:05,1671,5817,253,7777,852,4984
64,65,2019-03-24 10:39:05,6884,6665,299,7401,2073,6506
65,66,2019-03-24 10:50:04,192,4171,4255,7667,7413,6822
66,67,2019-03-24 10:58:02,3256,6410,5104,1280,5817,2035
67,68,2019-03-24 11:06:00,852,253,6059,5171,6506,6884
68,69,2019-03-24 11:15:00,6822,702,4255,4171,2643,6814
69,70,2019-03-24 11:24:00,6353,3128,1671,7667,192,5823
70,71,2019-03-24 11:33:00,4984,299,6039,6665,7308,7401
71,72,2019-03-24 11:42:00,581,7413,2073,7528,3495,7777
